Corporation name,Address,City,Province/territory,Postal code,Country,Sector or industry,Offense address,Offense city,Offense province/territory,Case summary,Charges,Enforcement notification text,Enforcement notification URL,Result,Date of conviction,Court level,Nature of offense(s),Additional details about the nature of the offense,Legislative details,Date of sentencing,Place of sentencing,Sentence(s),Amount of fine(s),Sentencing details
City of Red Deer,7721 – 40 Avenue,Red Deer,Alberta,T4P 3R6,Canada,,"3907 - 55 Avenue, Substation #3 of Red Deer Electric Utility facility",Red Deer,Alberta,Not available,Not Available,"City of Red Deer fined $50,000 for release of PCB contaminated oil",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/city-red-deer-release-pcb-oil.html,Guilty Plea,2013-12-08,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 5(1)a) – 272(1)b",2013-01-14,"Red Deer, Alberta",Fine|Penalty for the EDF,"$50,000","On January 8, 2013 – Edmonton, Alberta Provincial Court - Environment Canada successfully prosecuted the City of Red Deer. The City of Red Deer pled guilty to one count of section 5(1) a of the PCB regulations, and offence under section 272(1) b of CEPA, 1999. All other charges were dropped. The City of Red Deer must also comply with the court Order issued during sentencing."
All Happiness Holdings Ltd. / Leader Dry Cleaners,7625-104 St.,Edmonton,Alberta,T6E 4C3,Canada,,7625-104 St,Edmonton,Alberta,Not available,Not Available,Leader Dry Cleaners sentenced for environmental violations,https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/leader-dry-cleaners-sentenced-violations.html,Guilty Plea,2015-01-26,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 238(1) 272(1)(a), 272(1)(h) and 272.1(1)(f)/|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 6(c), 19(1)(a), 19(1)(b), 21(1)(a), 39(1)",2015-01-28,"Alberta Provincial Court, Edmonton, AB",Fine|Penalty for the EDF,"$25,000","On January 26, 2015, before the Alberta Provincial Court, All Happiness Holdings Ltd., doing business as Leader Dry Cleaners, plead guilty to a charge of improper storage of a toxic substance, tetrachloroethylene, in violation of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations of the Canadian Environmental Protection Act, 1999 (CEPA, 1999). The company was sentenced to a fine of $25,000 to be paid to the Environmental Damages Fund."
101195638 Saskatchewan Ltd. / Blackhawk's Gas,P.O. Box 964,Duck Lake,Saskatchewan,S0K 1J0,Canada,,Corner of Highway 212 and Highway 11 ,Duck Lake,Saskatchewan,Not Available,Not Available,"Saskatchewan gas station to pay $27,000 for environmental violations",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/saskatchewan-gas-station-pay-violations.html,Guilty Plea,2015-02-18,Provincial and Territorial Court,Did not follow its environmental emergency plan|Failure to comply with an EPCO,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations / 25(1)a|Canadian Environmental Protection Act, 1999 (CEPA) / Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations / 30(2)a|Canadian Environmental Protection Act, 1999 (CEPA) / Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations / CEPA 238(1)",2015-02-18,"Saskatchewan Provincial Court, Beardy's and Okemasis First Nation ",Fine|Other|Penalty for the EDF,"$28,000","On 18 February 2015, in Saskatchewan Provincial Court, 101195638 Saskatchewan Ltd. operating as Blackhawk's Gas pled guilty to a charge for failing to comply with an order given by an enforcement officer, an infraction of the Canadian Environmental Protection Act, 1999 and two charges for infractions under the Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations. The company was sentenced to pay a fine of 25,000$ for the first charge and 1,000$ each for the other two charges, all amounts to be directed to the Environmental Damages Fund. In addition, the court ordered the company to perform an environmental audit, repair any deficiencies, and prepare an adequate emergency plan."
Chinook Fuels Ltd,160 MacKay Cres.,Ft. McMurray ,Alberta,T9H 4W8,Canada,,160 MacKay Cres.,Fort McMurray,Alberta,Not available,Not Available,"Chinook Fuels to pay $60,000 for environmental offences",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/chinook-fuels-pay-offences.html,Guilty Plea,2013-10-18,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations / s.28(1)|Canadian Environmental Protection Act, 1999 (CEPA) / Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations / s.29(b)|Canadian Environmental Protection Act, 1999 (CEPA) / Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations / s.33(1)",2013-10-18,"Provincial Court of Alberta, Judicial District of Fort McMurray ",Fine|Penalty for the EDF,"$60,000",Not available
Cheech Holdings Ltd. (Aldo's Dry Cleaners),659 Baker Street,Nelson,British Columbia,V1L 4J3,Canada,,659 Baker Street,Nelson,British Columbia,Not available,Not Available,,,Guilty Plea,2013-04-15,Provincial and Territorial Superior Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 238(1) 272(1)(a), 272(1)(h) and 272.1(1)(f)/|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 6(c), 19(1)(a), 19(1)(b), 21(1)(a), 39(1)",2013-04-13,"Nelson, British Columbia",Fine|Penalty for the EDF,"$6,500","The company was charged, and a guilty plea was entered on two counts. The total fine assessed was $6,500. All the fine money was directed to the Environmental Damages Fund, as per the new section in CEPA."
Mackenzie Petroleums Ltd,Lot 1 Callison Road,Dawson,Yukon,Y0B 1G0,Canada,,Lot 1 Callison Road,Dawson,Yukon,Not available,Not available,MacKenzie Petroleums Limited Sentenced for Failing to Meet Fuel Reporting Requirements,http://www.ec.gc.ca/default.asp?lang=En&n=714D9AAE-1&news=2BE838E9-E50D-4B4E-82B4-D48E26F28F1A,Guilty Plea,2013-01-11,Provincial and Territorial Court,Failed to submit a report|Failure to comply with an EPCO,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / Sulphur in Diesel Fuel Regulations / 1 count CEPA-272(1)(c)|Canadian Environmental Protection Act, 1999 (CEPA) / Sulphur in Diesel Fuel Regulations / 4 counts under 5(1)",2013-01-11,"Whitehorse, Y.T.",Fine,"$20,000","WHITEHORSE, Y.T. – January 28, 2013 – On January 11, 2013, MacKenzie Petroleums Limited, based in Dawson, Yukon, pleaded guilty and was sentenced in Yukon Territorial court for offences under the Canadian Environmental Protection Act, 1999. MacKenzie Petroleums Limited was fined $20,000, including: • $10,000 for failing to submit or provide reports on importing fuel as required by the Sulphur in Diesel Regulations; • $10,000 for failing to comply with the Environmental Protection Compliance Order."
9130-2562 Québec inc. (Groupe Shapiro) ,"800 Place Victoria, Suite 440",Montréal,Quebec,H4Z 1A1,Canada,,4480 Chemin de la Côte-de-Liesse,Mount Royal,Quebec,"Groupe Shapiro is a diversified real estate group founded in the mid-1980s, with its related and affiliated companies, it manages and operates a portfolio of over 40 properties mainly located in Quebec.
Between 2012 and 2013, inspections were carried out in the buildings belonging to Groupe Shapiro. Several pieces of PCB equipment (transformer and capacitor) were found in use in violation of the Regulations. Warning letters and EPCOs were issued to various buildings.
In August 2013, an EPCO was issued to 4480 Cemin de la Côte-de-Liesse, requiring the elimination of a transformer in use before February 1, 2014. In April 2014, inspectors noticed that the transformer at 4480 Chemin de la Côte-de-Liesse was still in use.
In June 2014, an investigation was opened for use of the transformer after the deadline and non-compliance with an EPCO.
Charges were laid in July 2015.",Not Available,,,Guilty Plea,2015-10-15,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 238(1) 272(1)(a), 272(1)(h) and 272.1(1)(f)/|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 6(c), 19(1)(a), 19(1)(b), 21(1)(a), 39(1)",2015-10-15,"Quebec Court of Justice, Montreal, QC",Fine|Penalty for the EDF,"$125,000","On October 15, 2015, before the Quebec Court of Justice, 9130-2562 Québec Inc. (Groupe Shapiro) were fined $125,000 to be paid to the EDF after pleading guilty to non-compliance with an EPCO, use of PCB equipment and failure to produce reports required by the regulations on PCBs. The fine imposed is broken down as follows: • Count 1: non-compliance with an EPCO: $75,000 • Count 2: Use of a transformer: $40,000 • Count 3: Failure to produce a report: $10,000 In addition, within three months of the sentencing, 9130-2562 Québec Inc. had to eliminate the transformer appropriately and inform ECCC."
BONDY’S CLEANERS,122 RICHMOND ST.,Chatham,Ontario,N7M 1N9,Canada,,122 RICHMOND ST.,Chatham,Ontario,Not available,Not Available,,,Guilty Plea,2013-11-04,,,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / 4",2013-11-04,Ontario Court of Justice (North Region),Fine,"$5,750","On November 4, 2013, BONDY plead guilty for violating section 4 of the Perc Regulation. The corporation was fined $5000 plus $750 victim surcharge."
Seabreeze Cleaners Ltd.,90 Hewlett Park Landing,Sylvan Lake,Alberta,T4S 2J3,Canada,,90 Hewlett Park Landing,Sylvan Lake,Alberta,Not Available,Not Available,Seabreeze Cleaners and Owner Required to Pay $8500 for Environmental Offences and Providing False Information,http://www.ec.gc.ca/alef-ewe/default.asp?lang=En&n=AEFFFB93-1,Guilty Plea,2011-02-24,Provincial and Territorial Court,Other|Providing false or misleading information,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 238(1) 272(1)(a), 272(1)(h) and 272.1(1)(f)/|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 6(c), 19(1)(a), 19(1)(b), 21(1)(a), 39(1)",2011-02-23,"Red Deer, Alberta",Fine|Penalty for the EDF,"$8,500",Seabreeze Cleaners Ltd. was ordered to pay a $600 fine with an additional penalty of $5400 to be paid to the Environmental Damages Fund. An additionalfine of $250to the owner was ordered and a penalty of $2250are to be paid to the Environmental Damages Fund.
N.W.Cole and Associate Appraisers Ltd,"2354 Rocky Lake Drive, Unit 8",Waverly,Nova Scotia,B2R 1R5,Canada,,,Halifax,Nova Scotia,Not available,Not Available,"N.W. Cole Associate Appraisers Limited to Pay $10,000 Penalty for Violating Federal Environmental Law",http://ec.gc.ca/alef-ewe/default.asp?lang=En&n=1F068A88-1,Guilty Plea,2011-01-27,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 238(1) 272(1)(a), 272(1)(h) and 272.1(1)(f)/|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 6(c), 19(1)(a), 19(1)(b), 21(1)(a), 39(1)",2011-01-31,"Halifax, NS",Fine,"$1,000",Not available
Habitat Enterprises Unlimited / S.P.A.N. St.Paul Abilities Network (Society),5001 – 53rd Avenue,St. Paul,Alberta,T0A 3A4,Canada,,5001 – 53rd Avenue,St. Paul,Alberta,Not available,Not available,,,Guilty (Court Decision),2013-07-11,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / 5(f)(i)",2013-07-11,"St. Paul, Alberta",Fine,"$6,000","On July 11, 2013, S.P.A.N. St. Paul Abilities Network (society), operating as S.P.A.N. plead guilty to Section 5 (f)(i) of the PERC Regs in the St. Paul Provincial Courthouse. S.P.A.N. was ordered to pay a fine of $6000."
Prairie Distributors (B.C.) Inc.,6651 Elmbridge Way,Richmond,British Columbia,V7C 5C2,Canada,,6651 Elmbridge Way,Richmond,British Columbia,Not available,Not available,,,Guilty Plea,2015-04-17,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / 5(f)(i)",2015-04-17,"British Columbia Provincial Court, Richmond, BC",Fine,"$62,500","On April 17th, 2015, in British Columbia Provincial Court, Prairie Distributors (B.C.) Inc. pled guilty to four charges of selling tetrachloroethylene to non compliant facilities, an offence under the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations and the Canadian Environmental Protection Act, 1999. The company was sentenced to a fine of $62,500."
Champion Shipping,Paveki 006,"Kostrena, Rijeka, Croatia",British Columbia,,Canada,,Pacific Ocean / 135 miles west of Vancouver Island,,British Columbia,"January 25, 2013 a Norwegian shipping company,Champion Shipping A/S was charged $70,000 in fines after one of its tanker ships dumped fish oil into the Pacific Ocean, 220 kilometres off the west coast of Vancouver Island.
Crown prosecutor and Champion Shipping A/S lawyer presented a joint submission in provincial court last week agreeing to the $70,000 penalty for the July 29, 2010 incident.
Champion, a 30-year-old vessel, measuring 183 meters in length and weighing 38,233 metric tonnes, was observed by a Transport Canada surveillance aircraft with a hose dangling off its port side discharging a “brownish-coloured oily liquid” into the ocean.
It was later discovered the ship had stopped at a Vancouver port carrying 3,801.42 metric tonnes of crude Mexican fish oil from Guaymas, Mexico for delivery to the Mainland",Not Available,,,Guilty (Court Decision),2013-12-25,,,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 238(1) 272(1)(a), 272(1)(h) and 272.1(1)(f)/|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 6(c), 19(1)(a), 19(1)(b), 21(1)(a), 39(1)",2013-01-25,Provincial court of British Columbia,"Other penalty (provincial, charity, etc)","$65,000","Charges: Violations of section 125(1), Canadian Environmental Protection Act, 1999 (Disposal in waters under Canadian jurisdiction) and section 5.1, Migratory Birds Convention Act, 1994 Disposition Date: January 25, 2013 1. A fine in the sum of $5000, thereby satisfying s.272(2) of the CEPA ; and 2. An Order pursuant to s.291(1)(q) of the CEPA that Champion Shipping A/S pay Her Majesty the Queen in Right of Canada as represented by the Minister of Environment the sum of $65,000 for the purpose of promoting the conservation and protection of the environment which monies shall be spent at the direction of Dr. Patrick O'Hara of the Canadian Wildlife Service of Environment Canada, c/o The Institute of Ocean Sciences located at 9860 West Saanich Road, Sidney, British Columbia, for research including the study of the impact of exposure of birds to different types of oils and the study of the distribution of birds at sea by developing a methodology to effectively conduct aerial surveys of the ocean."
